Text,Label,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/jskWALw7qtg

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/vhEZJaiiNW0
Or, call JioCare at 199.",Telecom,
"News Alert! Our Multibagger Stock NBCC went UP from 80 to 160+
- Next Multibagger Coming Tomorrow
https://bit.ly/bM1
- Click on Link & JOIN FREE on WhatsApp
PTI",Marketing,
"The return of KARUNAKAR!
Use pre-credited points worth Rs.350 on spends of Rs.2500 from Shoppers Stop's new festive collection. 
Visit your nearest store. 
T&C",Marketing,
"Hi,
GET READY!
EXCLUSIVE OFFER
on KORAMANGALA's
LARGEST RESIDENCES 3, 4 & 5 BED @ RAHEJA VIVAREA
Call 8080445445
PRM/KA/RERA/1251/310/PR/041123/006369
RGVZ",Real Estate,
"We are waiting to hear from you! Click www.jio.com/r/zzJzTvLSx to share your feedback on Jio's network and help us serve you better. Thank you, Team Jio",Telecom,
"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Call 08066740337",Marketing,
Never respond to emails/embedded links in messages/calls asking you to update or verify KYC documents/User ID/Password/Debit Card Number/PIN/CVV/OTP etc. Immediately change your passwords/CVV/PIN if you have accidentally revealed your credentials.,Informational,
"Alert: On receiving any unwanted SMS , please complain by calling 1909 or send SMS to 1909 in format 'SMS Content, Sender No, dd/mm/yy' or visit bit.ly/2qBK0vp to report through Airtel Thanks App.",Telecom,
RBL's AI portfolio management showcases impressive multi-year earnings. Enrollment opening. https://g1yu.short.gy/D27,Marketing,
"Limited stock opportunity! 82% annual returns. Only 100 spots, click to join: https://bit.ly/3TmDfI7",Marketing,
Dear Customer Your SBI Rewardz point's Rs. 8990 will Expire by 10-09-2024 Kindly convert your point into cash click here https://cszf.short.gy/Rewardz,Spam,
Hello! Your CAF request for searching f-male for frndsip on shalini 7384632818 for meet is confirmed. -Couple and Friends,Spam,
India's next unicorn stocks exposed! 5 companies set to skyrocket 500% this year. https://bit.ly/3zczY7t,Marketing,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/jskWALw7qtg

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/vhEZJaiiNW0
Or, call JioCare at 199.",Telecom,
"Dear Customer, Our systems will be under maintenance on 16th Sep 2024. All transactions on HSBC Credit Cards & ATM transactions on HSBC Debit Cards may not be available from 01:00 AM IST to 05:30 AM (Indian standard time). We regret the inconvenience and request you to plan your banking needs accordingly.",Banking,
"Congratulations, Karunakar!

You've been pre-approved for Rs. 7,00,000 loan from L&T Finance!

Claim now https://dgtm.co/?Q3aWblzL0",Marketing,
Alert 90%: data is consumed. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
Alert 100%: for your daily high speed data limit. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
"Join the National Space Day Quiz, test your knowledge, share with friends & win exciting cash prizes. Participate in https://quiz.mygov.in/nsd/ Team MyGov",Informational,
"Alert! Our Last Multibagger NBCC went UP from 80 to 160+ 

NEXT MULTIBAGGER is READY!

https://multbgr.cc 

Click on Link & JOIN FREE on WhatsApp

Mandal",Marketing,
"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Call 08066740337",Marketing,
"Critical Low Balance Alert!
Your subscription order may not be delivered tomorrow. Hurry! Recharge now at bbdaily.
https://bit.ly/bbdrech",Marketing,
HSBC Alert: Beware of investment scams promising high returns. Scammers vanish with your money. Research cautiously before investing. Stay vigilant. Be safe.,Banking,
Amex: Further to our communication as on 20/09/2024 all our Partner lounges are now available. Refer to the updated list of operational lounges at https://go.amex/w7V1fg,Banking,
Alert 50%: data is consumed. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
We'd love to hear your recent experience of interacting with IDFC FIRST Bank. Click here - https://idfc-survey.zykrr.com/t/xbPlARpu .,Banking,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/jskWALw7qtg

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/vhEZJaiiNW0
Or, call JioCare at 199.",Telecom,
Dear INDUSIND CARD USER Your fees FOR CARD REWARDS 7890  is paid. Kindly pay the fees of INR 0 Claim rwrr.site IBL CARD. Thank You -PRATHAM CREATION,Spam,
TRAI never sends message or calls for verification or disconnection of numbers. Any such message or call is suspected fraudulent and should be reported to DoT Chakshu Portal https://sancharsaathi.gov.in Any unfortunate victim of fraud should report to 1930 or cybercrime.gov.in of MoHA,Informational,
Never respond to emails/embedded links in messages/calls asking you to update or verify KYC documents/User ID/Password/Debit Card Number/PIN/CVV/OTP etc. Immediately change your passwords/CVV/PIN if you have accidentally revealed your credentials.,Informational,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/jskWALw7qtg

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/vhEZJaiiNW0
Or, call JioCare at 199.",Telecom,
"Dear Airtel Payments Bank customer, as per RBI guidelines, periodic KYC update is mandatory for your wallet. Please send a consent letter in case of no change in the information. In case of any change in the KYC details, request  you to send self-attested scan copy of Proof of Identity along with consent letter at update@airtelbank.com by 23-Oct-24. For support call, 1800-23400",Banking,
"Dear Customer, Our systems will be under maintenance on 14-Oct-24. All transactions on HSBC Credit Cards & ATM transactions on HSBC Debit Cards may not be available from 01: 00 IST to 06:00 (Indian standard time). We regret the inconvenience and request you to plan your banking needs accordingly.",Banking,
"Stay informed with exclusive stock tips! Join us now for Rs. 20,200 in returns from expert guidance. https://dub.sh/2SSJd23",Marketing,
"Dear Benetton Member, you have a 1000 Color Club points in your account & it will expire on 13-Oct-2024. Visit @ a store near you to redeem before it expires.T&C",Shopping,
"Important information - TRAI does not provide any NOC for installing mobile towers. If a fraudster brings a fake letter to you, inform the concerned service provider and the local police.",Telecom,
"Missing you KARUNAKAR
Use Rs.500 worth pre-credited pts on Rs.4000 & more shopping
Earn Rs.10,000 Voucher on 1.11 Lakh spends
@Shoppers Stop stores
T&C",Shopping,
"In case of cyber financial fraud, you can register the complaint at https://cybercrime.gov.in of MHA.",Informational,
"Dear Customer, never share your YES BANK Debit card info & OTP related to Card Activation, Limit set or any offers. YES BANK never asks for such details.",Banking,
"Your item has arrived at the location, please check the accurate delivery address. Update: https://indiappasr.net/in",Spam,
"Dear Customer,
Your wallet is Low! All your future deliveries will be interrupted. Please top-up now to avoid order cancellation
https://link.app.milkbasket.com/3tNU
-Milkbasket",Marketing,
TRAI never sends any message or makes any call for verification/disconnection/reporting unlawful activities of mobile numbers. Beware of such messages/calls in the name of TRAI. This may be potentially fraudulent calls and should be verified from customer care of Service Providers and reported to the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or Cyber Crime Helpline (1930) or Department of Telecom Chakshu Platform at https://www.cybercrime.gov.in,Telecom,
"Celebrate this Diwali with joy!
L&T Finance offers you a pre-approved loan of Rs.700000
Apply now & celebrate in style! https://dgtm.co/?ty43am0y0
DGTMNY",Marketing,
"Dear Customer,
Your wallet is Low! All your future deliveries will be interrupted. Please top-up now to avoid order cancellation
https://link.app.milkbasket.com/3tNU
-Milkbasket",Marketing,
"Tech stocks rally today, unlocking Rs.17,000 in profits. Join us for timely updates and investment guidance. https://dub.sh/wyKgB14",Marketing,
"Tech stocks rally today, unlocking Rs.17,000 in profits. Join us for timely updates and investment guidance. https://dub.sh/wyKgB14",Marketing,
"Dear Customer,
Your wallet is Low! All your future deliveries will be interrupted. Please top-up now to avoid order cancellation
https://link.app.milkbasket.com/3tNU
-Milkbasket",Marketing,
"Your Airtel pack ends TOMORROW. If not recharged, outgoing services will stop. Recharge without losing your current validity i.airtel.in/FDPNew Ignore if done",Telecom,
"HDFC BANK LOAN offers

* SPECIAL RATE STARTS AT 10.5%

*MIN SALARY 25K

*PRE CLOSURE 0 ABOVE 10 LAKS loan

*Max LOAN upto 40laks

call 9345678047 Else ignore",Marketing,
"Suspected Spam : Rs 17,200 profit possible today! Secure your returns with expert-backed stock tips. https://dub.sh/vdq21",Marketing,
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1.5GB data and 100 SMS/day. Pack valid for 90 days.",Telecom,
"Celebrate 10 years of Mann Ki Baat, share with friends & win cash prizes. Participate now: https://quiz.mygov.in/mkb/ Team MyGov",Informational,
"ECR ON EXPRESS WAY PLOTS @ MAHABALIPURAM +WORLD CLASS AMENITIES @ just 13.17 L ONWARDS,DTCP & RERA APRVD PLOTS VANAVIL ESTATE 9500120558",Real Estate,
"50% Daily Data quota used as on 20-Oct-24 00:13. 
Jio Number : 9840435362 
Daily Data quota as per plan : 1.50 GB 
To know more on how to manage your account through MyJio app, click https://www.youtube.com/watch?v=Sroan2IfkMg 
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",Telecom,
"Get Rs. 10,000 today! Use insights for growth. https://dub.sh/5oBa3",Marketing,
"Watch out for fraudulent callers trying to lure you with fake reward points. Don't click on suspicious links sent by them via email / SMS and do not share confidential details like PIN, login ID, password, OTP, debit card/credit card details etc. To report a fraud, call 18002586465 / 18001024734  - StanChart",Informational,
"Act now! Join our elite stock group at https://lihi.cc/tBs8E to get picks with returns up to $8,500. Free strategies for first 100 members!",Marketing,
"Suspected Spam : Rs. 13,000 in potential gains today! Stay ahead with the latest updates. https://dub.sh/gxG5k37",Marketing,
Need help with your JioFiber? Cut the IVR queue and tap on the link below to experience blazing fast diagnosis & Support. https://t.jio/Run_Diagnostic,Telecom,
Service Update: Services for your Airtel Wi-Fi have been restored. You can now experience seamless services. We are sorry for the inconvenience caused to you and thank you for your patience.,Telecom,
"Important Information: You have access to FREE Airtel Xstream Play on your Airtel number. Enjoy movies, shows and Live channels now at no added cost. Watch now : https://open.airtelxstream.in/FREE_CONTENT",Telecom,
"Hello, Karunakar! Your NB UNO Bummy  Nappy Combo ... order 5760594378915_SBSP/24-25/380565 has arrived in your city and is expected by 30th October 2024 https://shprkt.in/SHPRKT/nCLAEMNIdmSB  Powered by Shiprocket",Marketing,
"IF ANY STATE GOVT. EMPLOYEE DEMANDS BRIBE, CONTACT ACB MUMBAI ON TOLL FREE NO.1064,E-Mail-addlcpacbmumbai@mahapolice.gov.in-BY ACB MUMBAI",Informational,
"You have received Rs. 100 on CRED for your recent transaction. Click the link below to use it. 
https://link.cred.club/CREDIN/link/qKV91zrA - CRED",Marketing,
"Criminals are faking Bank apps. This Cybersecurity Awareness Month,pledge to download IDFC FIRST Bank app only from official channels. Stay Vigilant,Stay Safe!",Banking,
"Criminals are faking Bank apps. This Cybersecurity Awareness Month,pledge to download IDFC FIRST Bank app only from official channels. Stay Vigilant,Stay Safe!",Banking,
"Dear Investor, this message is sent on behalf of MFs serviced by CAMS. We request you to participate in the Vigilance Awareness Week 2024 for ""Culture of Integrity for Nation's Prosperity"" by taking e-pledge on CVC website https://pledge.cvc.nic.in/ - CAMS",Banking,
"Account Status Update!
Your account now comes with SmartEMI offer on your Credit Card https://hdfcbk.io/HDFCBK/Z8TB2PFESGO6 
- HDFC Bank",Banking,
"On this Auspicious DIWALI,
Let's celebrate the festival by providing meals to needy.

Please Support ANNA-DAAN in Diwali

Visit https://iskcon-seva.in

ISKCON",Marketing,
"Suspected Spam : Rs 12,700 monthly earnings. Stay tuned with stock tips. https://tinyurl.com/yubn33",Marketing,
"Dear Client, Effective 1-Dec-2024, charges levied on non-complimentary* usage of Priority Pass linked to your Priority Visa Infinite Credit Card are being revised from USD 29 to USD 35 per visit. *T&Cs https://nc6.in/SCBANK/kchV9M - StanChart",Banking,
"Thank you for choosing PVR Cinemas, we would love to hear about your experience with us, please click the link to give your valuable feedback http://in-ox.in/PVRCIN/BD1730633576",Marketing,
"Rs 35,400 monthly gain achieved! Follow stock trends. https://goo.su/layywP",Marketing,
"Suspected Spam : Members earned Rs 10,000 last week. Receive insights for growth. https://tinyurl.com/Rnuz24",Marketing,
"We are waiting to hear from you! Click www.jio.com/r/z1pyQuqsd to share your feedback on Jio's network and help us serve you better. Thank you, Team Jio",Telecom,
"New Launch-Godrej Solitaire
Opp TAJ Hotel, Yashwantpur
WTC-900m
5Acre-3Tower-29Floor
3BHK-3.75Cr*
3.5BHK-4.50Cr*
4.5BHK-5.20Cr*
Brochure- wa.link/u1o4rw KEYMAN",Real Estate,
"Dear Customer, Our systems will be under maintenance on 11th Nov 2024. HSBC Debit, Credit Card services & ATM platforms may not be available from 01:00 IST to 06:00 IST (Indian standard time). We regret the inconvenience and request you to plan your banking needs.",Banking,
"Dear Airtel Payments Bank customer, as per RBI guidelines, periodic KYC update is mandatory for your wallet. Credit freeze has been applied on your wallet. Please send a consent letter in case of no change in the information. In case of any change in the KYC details, request  you to send self-attested scan copy of Proof of Identity along with consent letter at update@airtelbank.com by 23-Nov-24. In case no response received, freeze shall be marked in your account. For support call, 1800-23400",Banking,
"Suspected Spam : Leverage Rs. 12,800 growth opportunities today! Stay informed and act smart. https://goo.su/OUZLAc",Marketing,
Never respond to emails/embedded links in messages/calls asking you to update or verify KYC documents/User ID/Password/Debit Card Number/PIN/CVV/OTP etc. Immediately change your passwords/CVV/PIN if you have accidentally revealed your credentials.,Banking,
"LARGEST residences in KORAMANGALA
At RAHEJA Vivarea Over 7 ACRES
3, 4 & 5 BHK 40+ amenities 
Call 8080445445
PRM/KA/RERA/1251/310/PR/041123/006369 RGVZ",Real Estate,
"LARGEST residences in KORAMANGALA
At RAHEJA Vivarea Over 7 ACRES
3, 4 & 5 BHK 40+ amenities 
Call 8080445445
PRM/KA/RERA/1251/310/PR/041123/006369 RGVZ",Real Estate,
"Important Alert : Get FREE Airtel Xstream Play on your Airtel number. Watch movies, shows, and live channels now! https://open.airtelxstream.in/FREE_CONTENT",Telecom,
"Kindly update your delivery location within 12 hours, otherwise we will proceed to return the product: https://lihi.cc/bu7Nb",Spam,
"Today is Most Sacred KARTIK PURNIMA.
 
Please support ISKCON's daily ANNA-DAAN.
A Pious day for Charity

Visit https://iskcon-seva.in

ISKCON
FOOD FOR LIFE",Marketing,
"Hi Bata Member, REMINDER!! Your 100 bonus points will expire on 24-Nov Redeem at nearest store or bit.ly/3AI3DpS before expiry. TnC. Optout 7798811887",Marketing,
"50% Daily Data quota used as on 15-Nov-24 17:29. 
Jio Number : 9840435362 
Daily Data quota as per plan : 1.50 GB 
To know more on how to manage your account through MyJio app, click https://www.youtube.com/watch?v=Sroan2IfkMg 
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",Telecom,
"50% Daily Data quota used as on 15-Nov-24 19:47 Hrs. 
Jio Number : 9840435362 
Daily Data quota as per plan : 1.5 GB 
To know more on how to manage your account through MyJio app, click https://www.youtube.com/watch?v=Sroan2IfkMg 
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",Marketing,
"Beware dealing on unsolicited tips through Whatsapp,Telegram,SMS,Calls,Social Media and take informed decision https://www.bseindia.com/attention_investors.aspx",Banking,
Please cast your vote on Wednesday 20th November 2024 for Assembly General Election - IDFC FIRST Bank.,Banking,
"3 BHK with a RARE luxury of 3 private decks
In Koramangala
Introducing Elite at Raheja Vivarea
Call 8080445445
PRM/KA/RERA/1251/310/PR/041123006369 RGVZ",Real Estate,
"Important Alert : Get FREE Airtel Xstream Play on your Airtel number. Watch movies, shows, and live channels now! https://open.airtelxstream.in/FREE_CONTENT",Marketing,
"Our systems will be under maintenance on 24th Nov 2024 from 01:00 to 06:30 IST. During this time HSBC UPI Services, Personal Internet banking, Mobile Banking, Credit & Debit Cards online spends would not be available. We regret the inconvenience caused and request you to plan your banking needs accordingly.",Banking,
"Dear guest, your Domino's order is out for delivery. Click on https://dom.jfl.fyi/DOMINO/MNh2jWT to track it.",Shopping,
We hope you enjoyed your Domino's Pizza. Please click https://dom.jfl.fyi/DOMINO/jElYN3Y to share your experience with us.,Shopping,
"Hey! This Fraud Awareness Week, let's pledge NOT to share confidential credentials with anyone or fall prey to fake investment schemes offered by unknown people. DO NOT click on suspicious links/download suspicious app/.apk files as it may result in financial loss. Bank safe, stay safe! Team IDFC FIRST Bank.",Banking,
HSBC Alert: Beware of investment scams promising high returns. Scammers vanish with your money. Research cautiously before investing. Stay vigilant. Be safe.,Banking,
You have recently recharged your JioFiber connection. Please click www.jio.com/r/z7KyHJwJq to share your feedback on your recharge experience. Team JioFiber,Telecom,
"VANAVIL SUNDAY BEACH @ECR MARAKKANAM 35 ACRES TOWNSHIP-CLEAR BEACH VIEW WITH PRIVATE BEACH ACCESS,DTCP approved plots @7.17 lakhs For Details 9677340001",Real Estate,
"Achieved Rs 13,900 in returns Members are growing portfolios smarter every day https://tinyurl.com/Nkima12",Marketing,
"Dear , Discover Rivaah by Tanishq and add sparkle to every moment! Enjoy up to 20%* off on making charges. http://m.tneu.in/NEUTTN/A6n1Qn6
*T&C",Shopping,
"Important Information: You have access to FREE Airtel Xstream Play on your Airtel number. Enjoy movies, shows and Live channels now at no added cost. Watch now : https://open.airtelxstream.in/FREE_CONTENT",Telecom,
"Today is Sacred UTPANNA EKADASHI.
Please support ISKCON to SERVE SOCIETY

Visit https://iskcon-seva.in

An auspicious day for Charity.

ISKCON
HareKrishna",Marketing,
"Dear Airtel Payments Bank customer, as per RBI guidelines, periodic KYC update is mandatory for your wallet. Your wallet has been blocked. For continued services, Please send a consent letter in case of no change in the information , in case of any change in the KYC details, request  you to send self-attested scan copy of Proof of Identity along with consent letter at update@airtelbank.com by 26-Nov-24",Telecom,
"Hi , Thank God It's Black Friday sale at Croma! Shop till you blackout. Enjoy upto 60% off on Electronics. T&C http://m.tneu.in/TNCRMA/5ErL0Ak",Shopping,
"Introducing Run Diagnostics, A faster & smarter way to fix your JioFiber through simple , DIY ( Do it yourself) steps from anywhere, anytime ! Try now https://t.jio/Run_Diagnostic",Telecom,
We hope you are enjoying our JioFiber services. Please click www.jio.com/r/z9Kbbh9wG to share your experience. Team JioFiber,Telecom,
Participate in the Samvidhan Diwas Quiz & test your knowledge about our nation's laws. Play now & win exciting prizes. https://quiz1.mygov.in/ Team MyGov,Informational,
"AMEX never asks for OTP, Card details or sensitive information. Please do not share these with anyone. To read in another language, visit https://go.amex/QwzsKh",Banking,
"Your feedback is important to us.
Please spare 30 seconds to share your valuable feedback on Jio mobile service experience - www.jio.com/r/AcPRpDVJT",Telecom,
Never respond to emails/embedded links in messages/calls asking you to update or verify KYC documents/User ID/Password/Debit Card Number/PIN/CVV/OTP etc. Immediately change your passwords/CVV/PIN if you have accidentally revealed your credentials.,Informational,
"Hi , Celebrate wedding season with Electronic gifts for happy couples, starting Rs 899. Visit Croma store. http://m.tneu.in/TNCRMA/6jx4xAg T&C",Shopping,
INDIRA's team of experts provides complete stock guidance to meet your investment profit needs. https://goo.su/fpb1Cn,Marketing,
"TRAI never sends any message or makes any call, for verification/ disconnection/ reporting involvement in unlawful activities of mobile users/numbers. Beware of such fraudulent messages/calls in the name of TRAI. These messages/calls should be reported to the Department of Telecom Chakshu Platform at https://sancharsaathi.gov.in/sfc/",Telecom,
"How do you stay safe from spams and scams? We've made your safety our mission. With 800 Cr+ SPAM calls and SMSes already flagged, we are at it every day. Look out for the 'Suspected SPAM' tag - your protection starts here. https://i.airtel.in/awrns2",Telecom,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/7gLcTs8QZ8I

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/KmtQNXK8r1U
Or, call JioCare at 199.",Telecom,
"TODAY is Most Auspicious MOKSHADA EKADASI & GITA JAYANTI.

Please support daily ANNA-DAAN

Visit https://iskcon-seva.in

A sacred day for charity

ISKCON",Marketing,
"Hi , Wedding season essentials! Discover amazing offers on Mia, Taneira, IRTH, and Skinn by Titan, in-store & online. http://m.tneu.in/NEUTTN/Go5Aw2r",Shopping,
"Important Information: You have access to FREE Airtel Xstream Play on your Airtel number. Enjoy movies, shows and Live channels now at no added cost. Watch now : https://open.airtelxstream.in/FREE_CONTENT",Telecom,
Alert 50%: data is consumed. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
"Zomato Dining: Slot booked for 12:30PM, 15 Dec, for 4 people.
Check out booking details: zoma.to/ZOMATO/zm/do/92251038632 -ZOMATO",Shopping,
"FRAUD ALERT: Be cautious of spam from unknown numbers. Avoid sharing information or clicking links, except from confirmed Blue Dart official numbers.",Informational,
HSBC Alert: Beware of Deepfake scams! Scammers may impersonate a close contact by video/voice to seek money. Verify before sending funds. Stay vigilant.,Informational,
Avoid clicking on malicious/unrecognizable URLs - they might impersonate your device and steal data. Always verify email and SMS domain names. We only send emails from xxxxx@sc.com or SMS from SCBANK. Fraud hotline is 18002586465/1801024734 - StanChart,Informational,
Suspected Spam : Build steady returns with. Smarter strategies every day. https://tinyurl.com/pkDH17,Marketing,
"Dear Cardmember, you can continue to pay your American Express Card bill with ease via UPI, NEFT, Autopay and other modes. Know more about these options here: https://go.amex/payopt",Marketing,
"ALERT! Your JioFiber plan JioFiber_1M_399 with JioFixedVoice Number +918667961282 will expire on 21-Dec-24 09:07 Hrs. Post expiry, your Internet & outgoing calls will stop working. To enjoy uninterrupted services, recharge your account with a suitable plan, click http://tiny1.jio.com/JioFiberRecharge",Telecom,
"Important Information: You have access to FREE Airtel Xstream Play on your Airtel number. Enjoy movies, shows and Live channels now at no added cost. Watch now : https://open.airtelxstream.in/FREE_CONTENT",Telecom,
Success! Your MPIN is reset/changed. Team IDFC FIRST Bank,Telecom,
"Don't download unknown applications on your phone / devices as these apps can forward SMS received on your phone to other devices. This enables fraudsters to get your OTPs and complete fraudulent transactions. Please do not share the PIN, login ID, password, OTP, debit/credit card details etc. with anyone - StanChart",Informational,
"Dear Demat holder, If your DP is offering online a/c opening, then you also have the facility to close your demat a/c online. For info, contact your DP. - NSDL",Banking,
"You have Jio TRUE 5G! 
Switch to 5G now and enjoy faster speeds and a seamless experience. Enable 5G in your settings today.
 
Update the latest software of your device by going to Settings->About Device->Software Update
 
Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
 
To know more https://youtu.be/7gLcTs8QZ8I Or call JioCare at 199.",Telecom,
"You have Jio TRUE 5G! 
Switch to 5G now and enjoy faster speeds and a seamless experience. Enable 5G in your settings today.

Please update to the latest device software by going to Settings > General > Software Update
 
To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)

Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/KmtQNXK8r1U
Or call JioCare at 199.",Telecom,
"Dear Customer, Thank you for transacting at Benetton. You have earned 55 points on your latest purchase. Your total points tally is 68.T&C bit.ly/3RbG0tm",Shopping,
